135.785: [GC [PSYoungGen: 174368K->32K(174464K)] 176697K->2361K(524032K), 0.0004921 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
137.018: [GC [PSYoungGen: 174304K->96K(174528K)] 176633K->2425K(524096K), 0.0004322 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
137.419: [GC [PSYoungGen: 174368K->64K(174464K)] 176697K->2393K(524032K), 0.0005819 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
137.770: [GC [PSYoungGen: 174336K->0K(174528K)] 176665K->2329K(524096K), 0.0005540 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
138.136: [GC [PSYoungGen: 174336K->128K(174464K)] 176665K->2457K(524032K), 0.0004679 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
138.481: [GC [PSYoungGen: 174464K->32K(174528K)] 176793K->2361K(524096K), 0.0005324 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
138.828: [GC [PSYoungGen: 174304K->32K(174464K)] 176633K->2361K(524032K), 0.0005956 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
139.159: [GC [PSYoungGen: 174304K->64K(174528K)] 176633K->2393K(524096K), 0.0005246 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
139.484: [GC [PSYoungGen: 174400K->32K(174528K)] 176729K->2361K(524096K), 0.0004875 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
139.822: [GC [PSYoungGen: 174368K->32K(174528K)] 176697K->2361K(524096K), 0.0005085 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
140.161: [GC [PSYoungGen: 174368K->32K(174528K)] 176697K->2361K(524096K), 0.0004871 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
140.505: [GC [PSYoungGen: 174368K->64K(174528K)] 176697K->2393K(524096K), 0.0006029 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
